dms_orig,dms_dest,dms_mode,sctg2,tons_2015,value_2015
1,1,1,1,3312.6727,4283.6271
1,12,1,1,8.0446,19.3052
1,13,1,1,88.5371,119.5395
1,20,1,1,32.562,80.062
1,22,1,1,28.0044,37.1348
1,28,1,1,104.188,151.0447
1,31,1,1,29.7009,83.051
1,37,1,1,5.918,7.2513
1,40,1,1,1.4081,5.547
1,47,1,1,35.5136,35.5321
1,48,1,1,63.8881,174.2759
2,2,1,1,2836.0562,1824.1048
4,4,1,1,28.9653,80.5347
4,6,1,1,280.3483,756.6337
4,32,1,1,2.4579,9.0415
4,35,1,1,5.0287,20.7813
4,49,1,1,6.7606,19.1846
5,5,1,1,3835.2112,5027.681
5,20,1,1,4.2673,9.5988
5,22,1,1,26.5514,18.2296
5,28,1,1,23.0089,26.4358
5,29,1,1,13.8971,16.1202
5,40,1,1,10.6701,12.3432
5,47,1,1,8.5169,8.0993
5,48,1,1,63.0142,107.2962
6,1,4,1,0.003,0.0354
6,4,4,1,0.5622,2.6382
6,4,5,1,0.0447,0.0006
6,6,1,1,2791.7492,5582.7606
6,6,5,1,0.4399,1.641
6,8,4,1,1.1916,5.0139
6,8,5,1,0.0004,0.1771
6,9,5,1,0.1372,0.1745
6,12,4,1,0.9708,5.7985
6,13,4,1,0.1191,3.4184
6,15,4,1,1.6198,0.0081
6,16,4,1,0.8375,2.213
6,16,5,1,0.1982,1.6817
6,17,4,1,3.2976,13.0318
6,18,4,1,0.8324,2.007
6,20,4,1,0.9341,7.3643
6,21,4,1,0.7143,3.0716
6,24,4,1,0.335,4.1241
6,25,4,1,0.796,15.7807
6,26,4,1,0.4928,5.8465
6,27,4,1,0.0385,9.1638
6,29,4,1,1.2242,9.5309
6,31,4,1,0.16,0.6699
6,32,1,1,40.7716,113.4262
6,32,5,1,0.2256,0.3876
6,33,4,1,0.0053,2.3342
6,34,4,1,0.1242,2.3667
6,36,4,1,5.9025,35.3608
6,37,4,1,0.9906,7.532
6,39,1,1,0.4456,4.3715
6,39,4,1,2.8954,19.5222
6,39,5,1,0.0027,9.6159
6,40,4,1,1.6633,8.2575
6,41,4,1,0.5927,4.3708
6,42,4,1,1.988,9.3414
6,45,4,1,0.5901,1.2431
6,47,4,1,0.0967,5.0939
6,48,4,1,2.2007,15.7873
6,48,5,1,0.697,2.1871
6,49,4,1,0.4903,5.1838
6,51,4,1,0.0632,2.297
6,55,4,1,0.0002,2.1464
8,8,1,1,1637.373,3573.4793
8,20,1,1,19.7877,42.8792
8,31,1,1,521.336,1137.3473
8,35,1,1,3.8553,10.3145
8,56,1,1,29.2791,81.7186
9,9,1,1,13.7126,50.894
9,25,1,1,7.4363,36.8351
9,34,1,1,14.8526,29.0913
9,36,1,1,12.4691,78.2039
9,44,1,1,1.3449,4.5632
10,10,1,1,414.1856,594.7781
10,24,1,1,34.7113,119.0288
10,34,1,1,28.1697,63.3327
11,10,1,1,0.2917,0.8168
11,11,1,1,0.7999,2.2397
11,24,1,1,0.6392,1.7898
11,51,1,1,0.9552,2.6742
12,1,1,1,386.3983,948.4502
12,5,1,1,24.3752,74.4477
12,12,1,1,353.171,1017.7301
12,13,1,1,28.9432,72.7196
12,20,1,1,5.6714,19.7012
12,21,1,1,0.8124,1.3991
12,22,1,1,7.5926,26.5576
12,35,1,1,49.8969,191.7605
12,40,1,1,46.2533,185.467
12,45,1,1,1.4622,4.0942
12,45,4,1,0.0006,0.5434
12,48,1,1,147.9922,502.8497
13,1,1,1,48.2653,78.4007
13,5,1,1,0.3378,1.1577
13,8,1,1,3.3255,6.4571
13,12,1,1,2.3242,5.4041
13,12,5,1,0.0001,0.7095
13,13,1,1,4354.068,5472.9137
13,13,5,1,0.0002,1.91
13,18,1,1,0.0005,0.0884
13,18,5,1,0.0001,3.6414
13,20,1,1,30.0564,94.0949
13,20,4,1,0.2178,1.0717
13,21,1,1,0.0032,0.1438
13,21,5,1,0.0002,1.5709
13,22,1,1,1.605,15.0372
13,24,1,1,0.6641,7.0149
13,28,1,1,1.8773,3.8798
13,29,4,1,0.0001,0.0673
13,31,1,1,3.892,12.069
13,37,1,1,44.8216,56.2509
13,40,1,1,5.6055,17.86
13,45,1,1,13.1276,28.8034
13,47,1,1,27.137,41.525
13,47,5,1,0.0001,2.1426
13,48,1,1,4.7885,16.8127
13,51,1,1,0.7564,6.5551
15,15,1,1,37.4528,216.8398
16,8,1,1,8.0458,27.9985
16,16,1,1,783.8076,1755.1894
16,30,1,1,19.0447,42.8529
